season,seasonType,week,startTime,awayTeam,homeTeam,status,venueName,venueCity,broadcastNetwork,isNeutralSite,sourceName,sourceType,sourceUrl,externalReference,notes
2026,PRE,1,2026-08-13T23:00:00Z,DET,CIN,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-det-cin,
2026,PRE,1,2026-08-13T23:00:00Z,GB,PIT,SCHEDULED,,,NFL Network,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-gb-pit,
2026,PRE,1,2026-08-13T23:30:00Z,IND,NE,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-ind-ne,
2026,PRE,1,2026-08-14T00:00:00Z,LAC,HOU,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-lac-hou,
2026,PRE,1,2026-08-14T00:00:00Z,ARI,LV,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-ari-lv,
2026,PRE,1,2026-08-14T01:00:00Z,TEN,SF,SCHEDULED,,,NFL Network,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-ten-sf,
2026,PRE,1,2026-08-14T23:00:00Z,DEN,ATL,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-den-atl,
2026,PRE,1,2026-08-14T23:00:00Z,TB,NYJ,SCHEDULED,,,NFL Network,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-tb-nyj,
2026,PRE,1,2026-08-14T23:00:00Z,MIA,WAS,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-mia-was,
2026,PRE,1,2026-08-15T17:00:00Z,CAR,BUF,SCHEDULED,,,,false,NFL.com 2026 Schedule,OFFICIAL_WEB,https://www.nfl.com/schedules/2026/by-week/preseason-week-1,nfl-2026-pre-w01-car-buf,
